# omega_cold,sigma8_cold
0.32010384,0.67616403
0.29376940,0.70575757
0.23780140,0.85935061
0.27660106,0.87325535
0.27074682,0.82033874
0.27142270,0.79210183
0.29900905,0.74750443
0.28384846,0.79366932
0.36459657,0.85849840
0.33953393,0.85723421
0.32321511,0.78906614
0.28970450,0.82620267
0.34104777,0.88384513
0.39640507,0.67594890
0.27950138,0.82240792
0.39699534,0.83902581
0.30076546,0.85279074
0.23701302,0.81294526
0.27081479,0.86313811
0.35647614,0.78160825
0.33930257,0.67712918
0.33593210,0.85786719
0.24645885,0.80337988
0.39866741,0.85939279
0.28228040,0.75364651
0.33503960,0.79604982
0.38303762,0.75583338
0.23097401,0.65460548
0.37330220,0.88993578
0.35045962,0.70692214
0.25443464,0.80513822
0.34083039,0.65538088
0.33103721,0.89136116
0.25166549,0.89244240
0.39948948,0.74073908
0.34925135,0.87638979
0.24263349,0.89326915
0.31115701,0.71209297
0.24223501,0.77540845
0.37471153,0.83203040
0.24593471,0.68801484
0.32911316,0.87667083
0.34449461,0.73054775
0.33404472,0.71873845
0.26163426,0.77828747
0.29243841,0.76660759
0.34044142,0.72434047
0.37865987,0.84488424
0.38015485,0.67477281
0.34444199,0.78895095
0.30026255,0.73038251
0.38387948,0.86380077
0.31585376,0.73238208
0.30579536,0.81146819
0.32385536,0.65185243
0.25080025,0.68949494
0.29996680,0.65591052
0.26729499,0.68130358
0.37348411,0.74340701
0.24071965,0.88663432
0.34057507,0.69898375
0.31034056,0.79818960
0.26576729,0.67368765
0.26144439,0.80689639
0.30037824,0.67163531
0.37881510,0.89057687
0.32661812,0.70006633
0.33793995,0.82734943
0.39682170,0.65846294
0.39546469,0.68512293
0.36381573,0.65231273
0.28812406,0.76241071
0.31126895,0.73034333
0.26690136,0.89416198
0.23318854,0.85854946
0.37217395,0.71502760
0.23173162,0.67098615
0.23530215,0.73553319
0.32247522,0.70615851
0.24987764,0.67108078
0.36783417,0.82020210
0.37056909,0.66419906
0.38936557,0.70029073
0.39786089,0.66897979
0.30448861,0.85567618
0.24759005,0.76821212
0.37561765,0.89282660
0.29038120,0.70289888
0.24615960,0.83642519
0.27583384,0.72635628
0.29480586,0.78992766
0.36696018,0.84756710
0.29055788,0.84223346
0.35354965,0.80072264
0.29020130,0.80889344
0.27761807,0.68326898
0.32647291,0.77137922
0.36159439,0.79309552
0.24500081,0.78692814
0.38046366,0.89424224
0.23918378,0.84215070
0.26603149,0.79972140
0.39352276,0.79794426
0.24235676,0.66760806
0.24171093,0.86181234
0.37953720,0.78268547
0.38818160,0.71962990
0.29089884,0.79958153
0.31596677,0.66329691
0.36020423,0.79431506
0.36764388,0.89801279
0.33455573,0.89660111
0.23716913,0.69165188
0.36521758,0.81408612
0.25348322,0.88612235
0.25359361,0.85073952
0.35714357,0.73908510
0.24655914,0.83275489
0.25909605,0.67750538
0.31924970,0.66147227
0.24963790,0.84530508
0.31185105,0.88628673
0.23990070,0.66447831
0.27333975,0.72421469
0.36169264,0.87428935
0.36580192,0.70277831
0.23771028,0.70684380
0.29342298,0.80198135
0.39339012,0.76227237
0.35263687,0.75126014
0.24126852,0.87612938
0.39020272,0.75529640
0.34859334,0.80629586
0.29267416,0.65029616
0.35712404,0.86937447
0.33182906,0.69429563
0.38271009,0.71658522
0.33246443,0.70001516
0.39329659,0.69058739
0.28458912,0.73455372
0.37443126,0.76507046
0.27247898,0.72686877
0.33029029,0.74688959
0.39153316,0.80334066
0.39937910,0.78089746
0.23552783,0.86884870
0.27068228,0.78739752
0.31748466,0.79912743
0.38655335,0.85987995
0.25572475,0.78538394
0.26592476,0.71984664
0.25921389,0.79806214
0.38235642,0.68151343
0.34627345,0.82148401
0.31967047,0.73422151
0.25773588,0.76618958
0.31061005,0.70104081
0.31240977,0.88091681
