# omega_cold,sigma8_cold,hubble,ns,omega_baryon
0.27797843,0.87272539,0.66382828,0.93388724,0.05913812
0.35818414,0.86621061,0.73624279,0.96048847,0.05493099
0.27362696,0.88913245,0.60987123,0.92991595,0.05433113
0.38279137,0.79093572,0.75658724,0.93576551,0.05762737
0.23395113,0.75628973,0.64660586,0.98732962,0.04476443
0.35610691,0.73706066,0.69139124,0.94023611,0.05260634
0.33272339,0.77709552,0.66873483,0.98953666,0.04911061
0.38636779,0.79287791,0.64130486,0.93653958,0.04390660
0.25134568,0.75110844,0.63805995,0.96128189,0.04160335
0.25842319,0.77413413,0.71074233,0.99040858,0.04307720
0.28436602,0.83998875,0.60704262,0.96980016,0.04214590
0.37096728,0.76732198,0.74048625,0.95976742,0.04783771
0.28462637,0.75558991,0.62008695,0.96862115,0.04638731
0.32731589,0.80946493,0.73293921,0.99316723,0.04193127
0.26005352,0.86780055,0.78802932,0.94130895,0.04399883
0.37717216,0.79268009,0.75606762,0.99338987,0.05622432
0.38917707,0.89058091,0.64083720,0.96462497,0.05963955
0.28115469,0.87386720,0.74310762,0.96444549,0.04300998
0.34795411,0.77884163,0.74231077,0.95839571,0.05827397
0.32509285,0.79929849,0.77318247,0.96237938,0.05208076
0.36125554,0.75742105,0.61194683,1.00730277,0.04370442
0.33901813,0.87017361,0.61454555,0.94240132,0.04120195
0.23196252,0.89146560,0.79973881,0.93893787,0.05067646
0.27116438,0.85754105,0.67365611,0.95200111,0.04234745
0.30810070,0.89070953,0.77698311,0.95956258,0.05495917
0.37781602,0.83109392,0.61037110,0.92422069,0.04486825
0.25190100,0.75279273,0.75548379,1.00798878,0.04580818
0.25804612,0.85733704,0.79470354,0.92685955,0.05777835
0.27258727,0.83395658,0.62281243,0.98546854,0.04503053
0.39077461,0.84724363,0.74709587,0.93004050,0.04917957
0.35055953,0.84068765,0.76477195,0.99204014,0.05633783
0.35296572,0.86714219,0.75986812,0.99364457,0.04602463
0.31855168,0.81858428,0.73675396,1.00261663,0.05336890
0.32445694,0.78119894,0.65503835,1.00331146,0.04756094
0.31869054,0.83429244,0.79194881,1.00973576,0.04089671
0.30275237,0.88496603,0.65420152,1.00415975,0.05970503
0.39593857,0.84476811,0.73809623,1.00151157,0.04094456
0.24263752,0.81595648,0.67878111,0.93235279,0.04311475
0.25670074,0.76820904,0.78997545,0.92811520,0.05779693
0.34573952,0.82084810,0.72682509,1.00890232,0.05531379
0.38167784,0.78066479,0.75229985,0.95301705,0.04691972
0.36885096,0.79576759,0.64466447,0.99675904,0.05082987
0.30961198,0.73891121,0.76816004,0.93423763,0.04118569
0.34853437,0.88433772,0.67657525,0.93530652,0.04659205
0.30559884,0.80199694,0.68166743,0.97589399,0.04029427
0.36380278,0.85783577,0.79128896,0.96575294,0.04905788
0.36240614,0.81441875,0.69420675,0.92066636,0.05204134
0.37878326,0.80319055,0.60084305,0.98695839,0.05379782
0.35973900,0.77134454,0.68095347,1.00068223,0.04446788
0.24396248,0.82985747,0.77451749,0.93148632,0.05091148
0.30859917,0.88659253,0.73570922,0.93590769,0.04843527
0.33289318,0.86076118,0.72017894,1.00936401,0.05788811
0.39487515,0.73087981,0.62853793,0.96831705,0.05422158
0.36002186,0.82787160,0.64956928,0.94041961,0.05447958
0.28677058,0.73167031,0.63898932,1.00004680,0.05766639
0.30303308,0.86322594,0.79269909,0.94746125,0.05046298
0.33505261,0.74815915,0.64055265,0.99017756,0.05190858
0.24216924,0.73594163,0.69352528,1.00788286,0.04405797
0.24158831,0.73832117,0.70441503,0.94582108,0.04942313
0.30889655,0.80140347,0.66063959,1.00443985,0.05848715
0.37198757,0.78267713,0.63769279,0.96270372,0.05742285
0.30336132,0.74268453,0.72547209,0.97100602,0.04785720
0.39294876,0.74012913,0.78375349,0.96388692,0.05123267
0.29437433,0.89806549,0.75526285,0.97226328,0.04358102
0.33592422,0.76442825,0.63653433,1.00221181,0.04874303
0.24535906,0.77525325,0.63149346,0.99428304,0.04629424
0.28155507,0.77637559,0.64546104,0.94404254,0.04575736
0.23006556,0.76721383,0.69725486,0.94168240,0.05862128
0.38059664,0.78168699,0.73823982,0.92606657,0.05590435
