# omega_cold,sigma8_cold,hubble,ns,omega_baryon
0.23661684,0.69756403,0.66368283,0.95865772,0.04823981
0.33716841,0.79353097,0.60288428,0.97769785,0.04883110
0.28541370,0.85245183,0.73088712,0.98105760,0.05095111
0.23849614,0.68608614,0.71481872,0.96725155,0.05051674
0.27488411,0.89364114,0.60012059,0.99835496,0.05370644
0.28120069,0.82736333,0.69687912,0.96202861,0.05528463
0.39230334,0.69485081,0.66007348,0.99387767,0.04739706
0.36674478,0.84442175,0.64141049,0.95659196,0.05590266
0.36029757,0.86095418,0.64584599,0.97274619,0.05756034
0.30000932,0.72911531,0.72233423,0.98364186,0.05524172
0.28801760,0.80124982,0.60024426,0.92588002,0.04038659
0.34138773,0.76671353,0.70232863,0.99499574,0.05740977
0.39601064,0.88786322,0.71528870,0.96229312,0.04756873
0.35766059,0.69263602,0.64105392,1.00657972,0.05864113
0.33214935,0.78863979,0.73816293,1.00990789,0.04495588
0.24883122,0.82891766,0.79926676,0.92430599,0.05634643
0.31500571,0.69178984,0.68974372,1.00840550,0.04407395
0.26134647,0.87058194,0.61603076,0.92765755,0.04569900
0.27013441,0.78650759,0.70953108,0.93268657,0.05860140
0.31650229,0.73751595,0.68229825,0.95134594,0.05856008
0.23246655,0.87485751,0.68237468,0.98358528,0.04011644
0.23435681,0.87228877,0.78745456,0.95211113,0.04693019
0.26179925,0.89434494,0.63369388,0.99662979,0.04103565
0.33047244,0.86328104,0.68742561,0.92370411,0.05656475
0.31493907,0.70030875,0.75619831,0.93389226,0.05023192
0.26876860,0.70354175,0.63877711,0.99961307,0.05281082
0.24165910,0.85440187,0.66096838,0.97092788,0.04650882
0.24740761,0.80452604,0.64139035,0.93320496,0.05550983
0.32151973,0.65498773,0.60020124,0.94654485,0.04628305
0.26617146,0.74761671,0.79326959,0.97112505,0.04068396
0.25587695,0.82697760,0.73457720,0.99398401,0.05431978
0.24180357,0.76529297,0.79116681,0.93228746,0.05913646
0.32581017,0.79105210,0.78509540,0.94234666,0.05819289
0.30622169,0.78165426,0.62436383,0.99773915,0.04503209
0.32366505,0.66421212,0.70619488,0.93973758,0.04961967
0.27523624,0.65128912,0.70594015,0.94574997,0.05327850
0.28054286,0.66647766,0.60754962,0.96823716,0.05133046
0.28523875,0.82659066,0.70705811,0.96732428,0.04976748
0.35355707,0.79956898,0.79621754,0.96566752,0.04051969
0.27975595,0.74978502,0.71572251,0.94439723,0.04599738
0.32552678,0.86820070,0.60110999,0.96629470,0.04860797
0.37510810,0.82547170,0.72638645,0.92457090,0.05023299
0.29712120,0.85513547,0.67435600,0.99678976,0.05224657
0.37016944,0.75207172,0.73521752,0.92198065,0.04183320
0.39086588,0.77278779,0.72458674,1.00352940,0.05134943
0.31314828,0.65292438,0.77962890,1.00048129,0.05517979
0.35865361,0.79258952,0.64080068,1.00071564,0.05161613
0.30300133,0.79173832,0.72802430,1.00423984,0.05253578
0.38111590,0.69413008,0.67891535,1.00114822,0.04024679
0.26228525,0.88135992,0.61375175,0.92960863,0.04238515
0.25054192,0.80737831,0.62687092,1.00128577,0.05470953
0.27138232,0.86570459,0.64667789,0.96431540,0.04721681
0.27938252,0.77717938,0.63521379,0.99167471,0.05920616
0.24058819,0.84251788,0.66157693,0.98789496,0.05693196
0.36231006,0.76539563,0.65463893,0.97866568,0.04186664
0.38782131,0.76844205,0.60712991,0.94892712,0.04273230
0.30734926,0.65019546,0.63839527,0.93700776,0.05831486
0.36306892,0.85972377,0.71419253,0.92525129,0.04784380
0.28098583,0.65687370,0.76292150,0.99790311,0.05519231
0.37734065,0.80987551,0.64586396,0.99145298,0.05565672
0.27685576,0.81322164,0.72016928,0.95000137,0.04144428
0.28910113,0.83194037,0.65862721,0.97159460,0.05248972
0.38778588,0.68848958,0.70161535,1.00575769,0.05018527
0.38219543,0.67841551,0.66530629,0.94484633,0.05991010
0.34065442,0.78151298,0.66617343,0.92283918,0.04986430
0.39400491,0.68957989,0.74632935,0.98994230,0.04799542
0.28450651,0.70201994,0.71096610,1.00105525,0.04276974
0.38455356,0.79069762,0.72572549,0.99026224,0.04222413
0.33238866,0.88572603,0.67528398,0.93776966,0.04138043
0.29834348,0.84705135,0.72631493,0.97217669,0.04617981
0.32949053,0.85977072,0.71978870,0.96395985,0.05253307
0.28493512,0.72250590,0.76938402,0.97460757,0.04093080
0.35224817,0.79694701,0.71093766,0.93455221,0.05811068
0.25411588,0.84505564,0.60004658,0.92186900,0.04700820
0.35452904,0.74686824,0.76723272,0.93593617,0.04059168
0.24592649,0.84187660,0.69743124,0.95971355,0.04906854
0.39868160,0.75167660,0.75514439,0.96484269,0.05011725
0.27093623,0.72953206,0.74556098,0.93047493,0.04997030
0.31606017,0.88377195,0.75124823,0.98153583,0.05329198
0.26633828,0.77917937,0.64947409,1.00112187,0.05289312
0.37939087,0.74047704,0.60978437,0.99047800,0.04733401
0.30680805,0.79334290,0.63490326,1.00271804,0.04541600
0.24904568,0.86905875,0.68339819,0.92119793,0.04747394
0.32312191,0.65064642,0.68176446,0.95435122,0.05530818
0.26453284,0.71027410,0.65533989,0.93673954,0.05360879
0.31275937,0.68511904,0.79118301,0.98956048,0.04416840
0.34276223,0.85230570,0.61726604,0.97101346,0.05069992
0.32439757,0.80639688,0.77386991,0.95522829,0.05749074
0.27078553,0.71509612,0.77898531,0.96410726,0.04205546
0.33032193,0.81565049,0.79440777,0.95063551,0.04793877
0.36581228,0.88567790,0.74350581,0.94599944,0.04497182
0.38819888,0.87317550,0.64177083,1.00380994,0.04117673
0.24127827,0.67954637,0.63158108,0.92277829,0.04581484
0.31374710,0.68983377,0.75848119,0.98110866,0.05621698
0.23776213,0.66973815,0.70309762,0.97407979,0.05908744
0.38058082,0.76298930,0.69760778,0.98430829,0.04582518
0.30458905,0.67511956,0.71536823,0.93838415,0.04431993
0.30319489,0.89443815,0.67089549,0.94493385,0.05594487
0.33926407,0.71170880,0.70912695,0.93636815,0.04877443
0.25506566,0.85218921,0.64364748,0.95651875,0.05080297
0.37407948,0.67470284,0.78624158,0.96136847,0.04776096
0.32651240,0.68534214,0.78034325,0.97619155,0.04778177
0.26845277,0.88172895,0.63861889,0.93024847,0.04708133
0.23526706,0.80954215,0.77444515,1.00195387,0.05601435
0.36685244,0.70609069,0.69415693,0.94350259,0.05904976
0.34554280,0.74700104,0.71156009,0.92577105,0.04597338
0.26924131,0.72085736,0.71389224,0.99057223,0.04598998
0.36349745,0.86171187,0.75905672,0.98296251,0.05309433
0.39197618,0.87661110,0.62940322,0.99891209,0.05861972
0.37590338,0.71699019,0.74221840,0.94837020,0.04850313
0.31409102,0.68364623,0.78655638,1.00962284,0.05763991
0.39448804,0.70546770,0.68035020,0.94310672,0.04747101
0.28601357,0.75541891,0.75932313,1.00385626,0.04258870
0.29282061,0.79518093,0.72439884,0.95802170,0.04573692
0.33221525,0.66707889,0.69079035,0.97537008,0.04508830
0.34343242,0.72287726,0.63752826,0.96436235,0.05680532
0.28966152,0.81971171,0.70701790,0.97998141,0.05762617
0.26628428,0.69182056,0.60635322,0.92008828,0.04275795
0.39670323,0.74778879,0.61827385,0.97275261,0.04250199
0.26708927,0.67575742,0.60928732,1.00889316,0.05057476
0.23405488,0.76615596,0.61962193,0.94718251,0.04216607
0.25407571,0.78280333,0.67889772,0.93531141,0.05089912
0.31230460,0.77205865,0.76260060,0.93453514,0.05782742
0.29882053,0.80905625,0.65051307,0.94802489,0.04463192
0.35510679,0.82208776,0.72082029,0.98325682,0.05669404
0.24427300,0.82878016,0.70069830,0.99241800,0.05181440
0.24562428,0.86957944,0.74561926,0.93306465,0.04968590
0.37466814,0.83783312,0.74940573,0.98290304,0.04482027
0.36092143,0.77997998,0.71563902,0.95512489,0.05608276
0.30073941,0.76862489,0.67652971,0.93330490,0.04228794
0.24765618,0.86347761,0.68304657,0.93766486,0.05828229
0.32743808,0.76490367,0.74175402,0.99620669,0.05840121
0.29770633,0.70192784,0.71555625,0.97300924,0.04379332
0.26160780,0.71257981,0.67470003,0.94614233,0.04968918
0.34954167,0.67718563,0.77564005,0.92736469,0.05803681
0.30433433,0.85210212,0.76615006,0.93492979,0.05055127
0.33429386,0.76656995,0.66153965,1.00791692,0.05522073
0.31786716,0.81361449,0.79906082,0.92378223,0.05461892
0.39006716,0.84387758,0.76169530,0.92096907,0.05455218
0.31388600,0.84338144,0.76276819,0.98344412,0.05004940
0.23439890,0.72774194,0.63719689,0.98862613,0.05140743
0.28515545,0.83525520,0.71854432,0.94060605,0.04574305
0.39444109,0.89715814,0.60386371,0.96236388,0.04291642
0.26046085,0.76281095,0.77131796,0.96867512,0.05377609
0.37741528,0.86443918,0.66127928,0.95879036,0.04393379
0.25390130,0.71071885,0.63133869,0.95532990,0.05738897
0.24310169,0.70054873,0.65815777,0.97850554,0.05106188
0.32217913,0.71966982,0.62991396,0.97033345,0.04311717
0.34304997,0.81687220,0.71542274,0.95312899,0.05063098
0.23881468,0.65166667,0.63879137,0.93701197,0.05433832
0.32815357,0.86149194,0.63641515,0.99558668,0.04925263
0.34047912,0.87374173,0.61160139,0.99005556,0.04119908
0.33841390,0.80757124,0.77877905,1.00864876,0.04345016
0.35945484,0.70849529,0.76447937,1.00992700,0.04096676
0.26200689,0.82926077,0.77786820,0.99816636,0.05396999
0.32549149,0.68560952,0.63551675,0.95316704,0.04606829
0.37597468,0.76672703,0.68993091,0.95323157,0.05198003
0.35638885,0.82435467,0.72331363,0.93141381,0.05010680
0.23817332,0.79878965,0.75265365,0.96569230,0.04849394
0.35052411,0.68717452,0.69179669,0.97670247,0.04810658
0.31235244,0.77606707,0.74520220,0.92613266,0.05214975
0.37235556,0.73478267,0.76023654,0.97977343,0.04658202
0.39967693,0.84899959,0.74506014,0.93286474,0.05391175
0.30442775,0.71525299,0.73970928,1.00429740,0.05429345
0.26126214,0.89371014,0.75171410,0.93650903,0.05124433
0.26920169,0.87863511,0.64039537,1.00707614,0.05625349
0.23332162,0.74563616,0.71521208,0.96844990,0.04319255
0.28076936,0.72388104,0.68436033,1.00182423,0.04124697
0.29006079,0.89435510,0.66814960,0.92854633,0.04920981
0.37244488,0.71209012,0.66888635,0.98181066,0.04314208
0.26270497,0.67024501,0.68586282,0.92026179,0.04458158
0.31045301,0.67000666,0.73852243,0.98186259,0.05077097
0.27352439,0.75055672,0.63620434,1.00431587,0.04422379
0.38612963,0.82267836,0.75468404,0.94072610,0.05731159
0.32872336,0.85567442,0.61316042,0.95178461,0.05422256
0.39245391,0.69799013,0.78893362,1.00094952,0.04665884
0.39790204,0.67593496,0.64626129,0.92542279,0.05711161
0.23477059,0.87629015,0.75213738,0.98163953,0.04039063
0.33427223,0.65485113,0.66261513,0.96634011,0.05431049
0.36770202,0.89169305,0.65643596,0.95322633,0.04267296
0.27861204,0.72446851,0.78471910,0.98124067,0.04528408
0.31495491,0.75821261,0.61477779,1.00711773,0.04463741
0.33909300,0.78967808,0.65870197,0.98443114,0.05709004
